,序号,板块,涨跌幅(%),总成交量（万手）,总成交额（亿元）,净流入（亿元）,上涨家数,下跌家数,均价,领涨股,最新价,涨跌幅(%).1
0,51,饮料制造,1.16,336.02,107.3,1.08,39,4,31.93,养元饮品,44.32,6.41
1,52,交运设备服务,1.07,275.27,10.56,0.52,9,1,3.84,多伦科技,6.2,3.68
2,53,食品加工制造,1.06,324.54,46.48,-0.3,41,6,14.32,新乳业,16.84,9.99
3,54,电力,1.05,1118.37,54.68,-2.31,61,9,4.89,银星能源,5.28,10.0
4,55,白色家电,1.04,541.11,73.97,-3.1,41,6,13.67,三花智控,14.68,3.67
5,56,化学制药,1.03,850.47,95.43,0.62,85,8,11.22,延安必康,20.38,4.89
6,57,公路铁路运输,1.0,249.18,13.35,1.12,21,2,5.36,中原高速,4.14,2.48
7,58,服装家纺,0.99,306.5,23.78,-0.32,43,8,7.76,美尔雅,6.55,3.97
8,59,纺织制造,0.99,216.21,12.37,-0.27,27,3,5.72,开润股份,32.9,4.54
9,60,港口航运,0.99,544.69,23.63,1.37,28,1,4.34,中远海能,5.1,2.41
10,61,农产品加工,0.95,356.6,25.51,-0.63,25,8,7.15,保龄宝,6.2,8.2
11,62,养殖业,0.78,393.02,36.39,-0.85,17,5,9.26,新五丰,4.78,5.52
12,63,中药,0.76,720.5,76.66,-0.55,57,10,10.64,康美药业,7.61,3.4
13,64,煤炭开采加工,0.75,1004.15,46.0,-0.59,31,4,4.58,宝泰隆,5.93,2.77
14,65,农业服务,0.68,63.78,6.17,-0.0,5,2,9.68,金河生物,4.79,2.79
15,66,石油矿业开采,0.43,315.72,16.54,-0.47,6,4,5.24,蓝焰控股,11.41,2.89
